date	LoC	NoP	LoC.core	NOF
2013-09-01	97332	8	84513	358
2013-10-01	100675	8	97167	406
2013-11-01	102987	8	98967	413
2013-12-01	105266	9	99040	413
2014-01-01	108389	10	98949	409
2014-02-01	109027	10	99088	410
2014-03-01	108032	10	99549	411
2014-04-01	110583	10	101458	416
2014-05-01	165843	11	102324	416
2014-06-01	174241	11	102763	418
2014-07-01	168944	11	109069	438
2014-08-01	169541	12	110662	446
2014-09-01	169346	12	110801	449
2014-10-01	170725	12	111213	450
2014-11-01	172721	12	111231	450
2014-12-01	175580	13	111316	450
2015-01-01	177245	13	111533	450
2015-02-01	178636	13	112125	451
2015-03-01	179315	13	112497	454
2015-04-01	185676	14	113021	455
2015-05-01	190276	15	113266	456
2015-06-01	190395	15	114404	460
2015-07-01	195749	15	115642	466
2015-08-01	199983	16	115699	466
2015-09-01	195603	16	116803	468
2015-10-01	210985	16	116734	466
2015-11-01	212065	16	116741	466
2015-12-01	213831	16	117371	467
2016-01-01	217156	16	112800	447
2016-02-01	220822	16	113748	446
2016-03-01	219530	16	116521	451
2016-04-01	222421	16	116940	453
2016-05-01	223139	16	117484	454
2016-06-01	224264	16	117755	454
2016-07-01	225942	16	119089	462
2016-08-01	227805	16	119618	465
2016-09-01	230822	16	119672	465
2016-10-01	231094	16	119723	465
2016-11-01	231201	16	119826	465
2016-12-01	234152	16	120772	469
2017-01-01	236143	17	120903	469
2017-02-01	236719	17	121262	469
2017-03-01	236969	17	121296	469
2017-04-01	241777	18	121407	469
2017-05-01	242834	18	121955	471
2017-06-01	245383	19	122903	477
2017-07-01	245318	19	123246	478
2017-08-01	245533	19	123243	478
2017-09-01	247092	19	123239	478
2017-10-01	248995	19	123276	478
2017-11-01	248088	19	123320	478
2017-12-01	249954	19	123337	478
2018-01-01	248133	19	123319	478
2018-02-01	248229	19	123499	478
2018-03-01	248413	19	124220	478
2018-04-01	248661	19	124479	480
2018-05-01	324327	29	124502	480
2018-06-01	342360	31	125029	483
2018-07-01	346034	32	125138	483
2018-08-01	394563	35	125429	483
